tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1388,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-24 08:19:18.557,N
1388,7,serviceid,서비스아이디,long,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2019-12-24 08:19:18.557,N
1388,8,worldid,게임 서버 정보,string,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-24 08:19:18.557,N
1388,9,route,매핑 근거,string,매핑한 사유 혹은 출처,2019-12-24 08:19:18.557,N
1388,10,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2019-12-24 08:19:18.557,N
1933,0,sdate,집계일,date,한국 표준 시간 (KST:Korea Standard Time) 기준 집계 일자,2021-12-31 04:21:22.807,N
1933,1,timezone,집계 시간대,string,KST (Korea Standard Time),2021-12-31 04:21:22.807,N
1933,2,accountno,AccountNo,string,게임에서 발행한 계정ID,2021-12-31 04:21:22.807,N
1649,12,hj_area,행정구역명,nvarchar,행정구역명. objectid 의 값을 KAKAO Map 주소검색 API 에 입력시 반환되는 값을 기반으로 함,2021-10-05 08:25:31.620,N
1649,13,latitude,위도,nvarchar,위도. objectid 의 값을 KAKAO Map 주소검색 API 에 입력시 반환되는 값을 기반으로 함,2021-10-05 08:25:31.620,N
1649,14,longitude,경도,nvarchar,경도. objectid 의 값을 KAKAO Map 주소검색 API 에 입력시 반환되는 값을 기반으로 함,2021-10-05 08:25:31.620,N
1649,15,hjd_code,행정동 코드,nvarchar,행정동 코드. objectid 의 값을 KAKAO Map 주소검색 API 에 입력시 반환되는 값을 기반으로 함,2021-10-05 08:25:31.620,N
1933,3,nexonsn,NexonSN,long,nexon.com 계정 고유 번호(다른 명칭 으로 oid/uid/useroid/membersn 이라고도 함),2021-12-31 04:21:22.807,N
1929,12,createdate,게임서비스별 가입일자,date,게임서비스에 대한 nexonsn 의 최초 가입일자,2021-12-10 01:04:48.957,N
1929,13,flag,신규/복귀 플레그,nvarchar,유저구분 값. 자세한 사항은 컨플루언스 문서 참고,2021-12-10 01:04:48.957,N
1929,14,loadingtime,데이터 적재 일시,datetime,DB에 집계된 시간,2021-12-10 01:04:48.957,N
1748,0,sdate,집계일,date,집계 일자 (yyyy-MM-dd),2021-01-14 06:25:38.470,N
1748,1,timezone,집계 시간대,string,"집계 시간대 (KST, UTC 등)",2021-01-14 06:25:38.470,N
1748,2,accountno,게임 계정,string,게임에서 발행된 계정 ID,2021-01-14 06:25:38.470,N
1748,3,nexonsn,NexonSN,long,넥슨 계정 식별자,2021-01-14 06:25:38.470,N
1748,4,npsn,NPSN,long,TOY에서 발급한 모바일 플랫폼 계정 식별자,2021-01-14 06:25:38.470,N
1748,5,serviceareaid,게임 계정 구분자,string,"NXLog의 accounttype, 일부게임 regionid 처럼 게임 계정의 유일성을 보장하기 위해 필요한 추가 구분자",2021-01-14 06:25:38.470,N
1748,6,characterid,게임 캐릭터 ID,string,게임 캐릭터 ID,2021-01-14 06:25:38.470,N
1748,7,serviceid,서비스아이디,long,랩스에서 발급하고 관리하는 게임 식별자,2021-01-14 06:25:38.470,N
1748,8,worldid,게임 서버,string,게임 서버 구분자,2021-01-14 06:25:38.470,N
1748,9,listtype,리스트 유형,string,"리스트 유형(id, ip 두가지 존재)",2021-01-14 06:25:38.470,N
1748,10,blacklist,블랙리스트,string,블랙리스트,2021-01-14 06:25:38.470,N
1748,11,connecttype,접속 유형,string,"nexon, neople, naver..등 (리스트 유형이 id일때만 값 존재)",2021-01-14 06:25:38.470,N
